time,open,high,low,close
2012-04-04T00:00:00Z,4.935747506,5.01,4.86,4.95
2012-04-05T00:00:00Z,4.942873753,5.04,4.89,4.98
2012-04-06T00:00:00Z,4.961436876,4.99,4.81,4.9225
2012-04-07T00:00:00Z,4.941968438,4.941968438,4.7,4.82
2012-04-08T00:00:00Z,4.880984219,4.880984219,4.69,4.7625
2012-04-09T00:00:00Z,4.82174211,4.85,4.7,4.75
2012-04-10T00:00:00Z,4.785871055,4.87,4.75,4.7925
2012-04-11T00:00:00Z,4.789185527,4.92,4.78,4.87
2012-04-12T00:00:00Z,4.829592764,4.93,4.73,4.865
2012-04-13T00:00:00Z,4.847296382,4.95,4.81,4.8925
2012-04-14T00:00:00Z,4.869898191,5.01,4.869898191,4.9625
2012-04-15T00:00:00Z,4.916199095,4.99,4.916199095,4.965
2012-04-16T00:00:00Z,4.940599548,4.98,4.93,4.955
2012-04-17T00:00:00Z,4.947799774,4.99,4.947799774,4.9775
2012-04-18T00:00:00Z,4.962649887,5.18,4.962649887,5.075
2012-04-19T00:00:00Z,5.018824943,5.18,5.018824943,5.135
2012-04-20T00:00:00Z,5.076912472,5.38,5.076912472,5.25
2012-04-21T00:00:00Z,5.163456236,5.43,5.163456236,5.315
2012-04-22T00:00:00Z,5.239228118,5.25,5.17,5.2075
2012-04-23T00:00:00Z,5.223364059,5.25,5,5.1125
2012-04-24T00:00:00Z,5.167932029,5.167932029,4.98,5.05
2012-04-25T00:00:00Z,5.108966015,5.14,4.86,5.065
2012-04-26T00:00:00Z,5.086983007,5.12,4.86,5.015
2012-04-27T00:00:00Z,5.050991504,5.08,4.99,5.035
2012-04-28T00:00:00Z,5.042995752,5.07,4.85,4.975
2012-04-29T00:00:00Z,5.008997876,5.008997876,4.81,4.9
2012-04-30T00:00:00Z,4.954498938,5.02,4.87,4.9525
2012-05-01T00:00:00Z,4.953499469,5.04,4.86,4.9525
2012-05-02T00:00:00Z,4.952999734,5.15,4.952999734,5.0575
2012-05-03T00:00:00Z,5.005249867,5.13,5.005249867,5.085
2012-05-04T00:00:00Z,5.045124934,5.15,5.045124934,5.0975
2012-05-05T00:00:00Z,5.071312467,5.11,5.04,5.07
2012-05-06T00:00:00Z,5.070656233,5.1,5.02,5.065
2012-05-07T00:00:00Z,5.067828117,5.08,4.97,5.0375
2012-05-08T00:00:00Z,5.052664058,5.08,4.99,5.0375
2012-05-09T00:00:00Z,5.045082029,5.08,5.01,5.0325
2012-05-10T00:00:00Z,5.038791015,5.04,4.87,4.95
2012-05-11T00:00:00Z,4.994395507,4.994395507,4.87,4.94
2012-05-12T00:00:00Z,4.967197754,4.97,4.91,4.935
2012-05-13T00:00:00Z,4.951098877,4.951098877,4.94,4.945
2012-05-14T00:00:00Z,4.948049438,4.99,4.88,4.9325
2012-05-15T00:00:00Z,4.940274719,5.01,4.9,4.9525
2012-05-16T00:00:00Z,4.94638736,5.04,4.94638736,5.015
2012-05-17T00:00:00Z,4.98069368,5.03,4.98069368,5.02
2012-05-18T00:00:00Z,5.00034684,5.07,5.00034684,5.05
2012-05-19T00:00:00Z,5.02517342,5.08,5.02517342,5.07
2012-05-20T00:00:00Z,5.04758671,5.08,5.03,5.0425
2012-05-21T00:00:00Z,5.045043355,5.09,5.01,5.055
2012-05-22T00:00:00Z,5.050021677,5.07,5,5.0375
2012-05-23T00:00:00Z,5.043760839,5.1,5.02,5.06
2012-05-24T00:00:00Z,5.051880419,5.12,5.04,5.09
2012-05-25T00:00:00Z,5.07094021,5.1,5.07094021,5.0875
2012-05-26T00:00:00Z,5.079220105,5.09,5.06,5.075
2012-05-27T00:00:00Z,5.077110052,5.08,5,5.0575
2012-05-28T00:00:00Z,5.067305026,5.08,5.067305026,5.075
2012-05-29T00:00:00Z,5.071152513,5.12,4.95,5.0625
2012-05-30T00:00:00Z,5.066826257,5.14,5.066826257,5.105
2012-05-31T00:00:00Z,5.085913128,5.17,5.085913128,5.145
2012-06-01T00:00:00Z,5.115456564,5.24,5.115456564,5.1975
2012-06-02T00:00:00Z,5.156478282,5.21,5.156478282,5.1925
2012-06-03T00:00:00Z,5.174489141,5.2,5.174489141,5.1925
2012-06-04T00:00:00Z,5.183494571,5.24,5.14,5.195
2012-06-05T00:00:00Z,5.189247285,5.49,5.189247285,5.325
2012-06-06T00:00:00Z,5.257123643,5.49,5.257123643,5.415
2012-06-07T00:00:00Z,5.336061821,5.53,5.336061821,5.4675
2012-06-08T00:00:00Z,5.401780911,5.63,5.401780911,5.545
2012-06-09T00:00:00Z,5.473390455,5.62,5.47,5.5425
2012-06-10T00:00:00Z,5.507945228,5.54,5.42,5.48
2012-06-11T00:00:00Z,5.493972614,5.57,5.4,5.4925
2012-06-12T00:00:00Z,5.493236307,5.9,5.493236307,5.6775
2012-06-13T00:00:00Z,5.585368153,6,5.585368153,5.835
2012-06-14T00:00:00Z,5.710184077,5.91,5.710184077,5.865
2012-06-15T00:00:00Z,5.787592038,6.42,5.56,6.07
2012-06-16T00:00:00Z,5.928796019,6.52,5.928796019,6.365
2012-06-17T00:00:00Z,6.14689801,6.47,6.13,6.3
2012-06-18T00:00:00Z,6.223449005,6.34,5.98,6.1275
2012-06-19T00:00:00Z,6.175474502,6.49,6.13,6.3025
2012-06-20T00:00:00Z,6.238987251,6.65,6.238987251,6.4875
2012-06-21T00:00:00Z,6.363243626,6.69,6.363243626,6.6575
2012-06-22T00:00:00Z,6.510371813,6.67,6.48,6.595
2012-06-23T00:00:00Z,6.552685906,6.61,6.33,6.4975
2012-06-24T00:00:00Z,6.525092953,6.525092953,6.35,6.3875
2012-06-25T00:00:00Z,6.456296477,6.456296477,6.11,6.2675
2012-06-26T00:00:00Z,6.361898238,6.46,6.17,6.325
2012-06-27T00:00:00Z,6.343449119,6.68,6.34,6.48
2012-06-28T00:00:00Z,6.41172456,6.54,5.99,6.38
2012-06-29T00:00:00Z,6.39586228,6.63,6.39586228,6.535
2012-06-30T00:00:00Z,6.46543114,6.61,6.46543114,6.575
2012-07-01T00:00:00Z,6.52021557,6.62,6.52,6.565
2012-07-02T00:00:00Z,6.542607785,6.64,6.52,6.58
2012-07-03T00:00:00Z,6.561303892,6.66,6.4,6.5275
2012-07-04T00:00:00Z,6.544401946,6.55,6.36,6.4475
2012-07-05T00:00:00Z,6.495950973,6.66,6.495950973,6.575
2012-07-06T00:00:00Z,6.535475487,6.6,6.39,6.5425
2012-07-07T00:00:00Z,6.538987743,6.79,6.538987743,6.685
2012-07-08T00:00:00Z,6.611993872,6.8,6.45,6.695
2012-07-09T00:00:00Z,6.653496936,6.99,6.55,6.8125
2012-07-10T00:00:00Z,6.732998468,7.13,6.732998468,7.0275
2012-07-11T00:00:00Z,6.880249234,7.15,6.880249234,7.1025
2012-07-12T00:00:00Z,6.991374617,7.59,6.991374617,7.3575
2012-07-13T00:00:00Z,7.174437308,7.69,7.174437308,7.585
2012-07-14T00:00:00Z,7.379718654,7.58,7.379718654,7.5375
2012-07-15T00:00:00Z,7.458609327,7.57,7.4,7.5225
2012-07-16T00:00:00Z,7.490554664,8.3,7.14,7.8275
2012-07-17T00:00:00Z,7.659027332,8.8,7.659027332,8.3375
2012-07-18T00:00:00Z,7.998263666,9.15,7.998263666,8.7525
2012-07-19T00:00:00Z,8.375381833,9.2,8.375381833,8.945
2012-07-20T00:00:00Z,8.660190916,8.76,7.93,8.4725
2012-07-21T00:00:00Z,8.566345458,8.91,8.2,8.5925
2012-07-22T00:00:00Z,8.579422729,8.8,8.3,8.565
2012-07-23T00:00:00Z,8.572211365,8.88,8.1,8.4975
2012-07-24T00:00:00Z,8.534855682,8.8,8.25,8.5625
2012-07-25T00:00:00Z,8.548677841,8.64,8.24,8.5275
2012-07-26T00:00:00Z,8.538088921,8.83,8.45,8.6675
2012-07-27T00:00:00Z,8.60279446,8.91,8.60279446,8.815
2012-07-28T00:00:00Z,8.70889723,9,8.70889723,8.8725
2012-07-29T00:00:00Z,8.790698615,8.790698615,8.7,8.7475
2012-07-30T00:00:00Z,8.769099308,9,8.54,8.81
2012-07-31T00:00:00Z,8.789549654,9.28,8.789549654,9.12
2012-08-01T00:00:00Z,8.954774827,9.5,8.9,9.2825
2012-08-02T00:00:00Z,9.118637413,10.52,9.118637413,9.9525
2012-08-03T00:00:00Z,9.535568707,12,9.535568707,10.8225
2012-08-04T00:00:00Z,10.17903435,11.2,10.17903435,10.7925
2012-08-05T00:00:00Z,10.48576718,10.93,10.29,10.715
2012-08-06T00:00:00Z,10.60038359,10.99,10.43,10.7425
2012-08-07T00:00:00Z,10.67144179,10.87,10.67144179,10.8
2012-08-08T00:00:00Z,10.7357209,11.04,10.7,10.87
2012-08-09T00:00:00Z,10.80286045,12.49,10.79,11.32
2012-08-10T00:00:00Z,11.06143022,11.5,10.9,11.18
2012-08-11T00:00:00Z,11.12071511,11.4,11.12071511,11.3375
2012-08-12T00:00:00Z,11.22910756,11.69,11.22910756,11.48
2012-08-13T00:00:00Z,11.35455378,11.98,11.35455378,11.6725
2012-08-14T00:00:00Z,11.51352689,12.3,11.51352689,12.065
2012-08-15T00:00:00Z,11.78926344,13.2,11.78926344,12.6175
2012-08-16T00:00:00Z,12.20338172,13.5,12.20338172,13.2025
2012-08-17T00:00:00Z,12.70294086,16.41,11.5,13.475
2012-08-18T00:00:00Z,13.08897043,13.08897043,11.11,12.07
2012-08-19T00:00:00Z,12.57948522,12.57948522,7.1,9.72
2012-08-20T00:00:00Z,11.14974261,11.14974261,7.86,9.0825
2012-08-21T00:00:00Z,10.1161213,10.51,9.53,10.0025
2012-08-22T00:00:00Z,10.05931065,10.71,9.75,10.1025
2012-08-23T00:00:00Z,10.08090533,10.19,9.78,9.9875
2012-08-24T00:00:00Z,10.03420266,10.51,9.83,10.185
